commit	CV_AUC	status	description
6755591	0.7445	keep	baseline (n_est=30, max_depth=6, lr=0.1, raw cats)
a0cfe92	0.7548	keep	n_estimators 30 -> 300
9f17207	0.7583	keep	n_estimators 300 -> 1000
d25a579	0.7607	keep	learning_rate 0.1 -> 0.05
d3862a4	0.7545	discard	ordinal-encode Month/DayofMonth/DayOfWeek as int
6101080	0.7609	discard	add DepHour = DepTime // 100 (within noise, +0.0002)
d32b022	0.7681	keep	colsample_bytree=0.7
7c25232	0.7595	discard	add subsample=0.8 (regressed)
19b60b7	0.7776	keep	max_depth 6 -> 8
a381be6	0.7836	keep	max_depth 8 -> 10
4304ae9	0.7837	keep	min_child_weight=10 (AUC +0 but CV 37.5->28.7s)
3e86a6e	0.7869	keep	max_depth 10 -> 12
ad434b0	0.7849	discard	add Route=Origin+Dest cat (regressed and over budget 81.9s)
889c32f	0.7862	discard	reg_lambda=5
7e24d31	0.7846	discard	gamma=0.5
6fc4067	0.7900	keep	add cyclic DepTime sin/cos
6c89f34	0.7914	keep	add cyclic Month sin/cos
e8a0791	0.7906	discard	add cyclic DayOfWeek sin/cos
801ef83	0.7923	keep	max_bin=512
806ae23	0.7928	discard	max_bin=1024 (over 60s budget at ~67s)
bca4b58	0.7920	discard	colsample_bylevel=0.7
22ded08	0.7959	keep	colsample_bytree 0.7 -> 0.5
1f8c6ed	0.7934	discard	colsample_bytree 0.5 -> 0.3 (too aggressive)
a533f54	0.7961	keep	colsample_bytree 0.5 -> 0.4 (~same AUC, faster)
c384a50	0.7980	keep	max_depth 12 -> 14
0bd3d9d	0.7982	discard	max_depth 14 -> 16 (over budget, +0.0002 noise)
783b860	0.7996	discard	min_child_weight 10 -> 5 (over budget ~69s; AUC +0.0016)
fa88182	0.7992	keep	n_est=800 + min_child_weight=5 (paired for budget)
0efdd36	0.7984	discard	add DayofMonthInt numeric
a4e4308	0.8004	keep	learning_rate 0.05 -> 0.04
a553fe8	0.8001	discard	colsample_bytree 0.4 -> 0.45
