commit	status	description	cv_auc	test_auc_2005s2_full	test_auc_2005s2_4_5	test_auc_2006_full
7d0b368	keep	baseline	0.7445	0.7479	0.7454	0.7155
ba8f26d	keep	200 trees depth 4 lower learning rate with row and column sampling	0.7487	0.7514	0.7498	0.7181
2ec6b62	keep	400 trees depth 4 learning rate 0.03 with same regularization	0.7496	0.7518	0.7508	0.7184
d84eab8	keep	depth 5 with min child weight 10 on the 400 tree schedule	0.7579	0.7599	0.7590	0.7196
49206b8	keep	depth 6 with min child weight 20 on the 400 tree schedule	0.7657	0.7683	0.7671	0.7207
23da8fc	keep	depth 7 with min child weight 40 on the 400 tree schedule	0.7691	0.7731	0.7707	0.7211
dfd242a	keep	depth 7 with min child weight relaxed to 20	0.7702	0.7741	0.7716	0.7208
922a158	discard	depth 7 with min child weight relaxed further to 10	0.7686	N/A	N/A	N/A
408922b	keep	depth 7 with min child weight 15	0.7704	0.7737	0.7713	0.7209
9566bf1	keep	depth 8 with min child weight 30	0.7736	0.7776	0.7749	0.7209
1a8092b	discard	depth 9 with min child weight 60	0.7722	N/A	N/A	N/A
bbaf29f	discard	max_cat_to_onehot 32 for low-cardinality categoricals	0.7620	N/A	N/A	N/A
06ab09b	discard	max_cat_threshold 256 for larger categorical partitions	0.7735	N/A	N/A	N/A
8e13809	discard	gamma 0.1 split loss regularization	0.7736	N/A	N/A	N/A
f02d374	keep	add departure hour minute minutes and cyclic time features	0.7784	0.7837	0.7803	0.7261
09c2a1c	keep	remove raw DepTime after adding engineered time features	0.7787	0.7840	0.7806	0.7261
ed3e2f1	discard	add calendar numeric cyclic and weekend features	0.7784	N/A	N/A	N/A
93377f1	discard	add Origin_Dest route categorical interaction	0.7783	N/A	N/A	N/A
1bdc8a4	discard	depth 7 min child weight 15 with time features	0.7742	N/A	N/A	N/A
8031221	discard	max_bin 512 on time-feature model	0.7783	N/A	N/A	N/A
a81641c	keep	600 trees learning rate 0.02 on time-feature model	0.7795	0.7846	0.7813	0.7266
6ff2d6c	keep	800 trees learning rate 0.015 on time-feature model	0.7797	0.7847	0.7815	0.7269
63104e6	keep	1000 trees learning rate 0.012 on time-feature model	0.7799	0.7852	0.7817	0.7271
f2efbc1	discard	min child weight 40 on 1000 tree schedule	0.7784	N/A	N/A	N/A
066e231	keep	min child weight 20 on 1000 tree schedule	0.7805	0.7856	0.7826	0.7267
bedc3db	keep	min child weight 15 on 1000 tree schedule	0.7808	0.7859	0.7821	0.7266
ccde93f	discard	min child weight 10 on 1000 tree schedule	0.7797	N/A	N/A	N/A
1315f01	discard	min child weight 12 on 1000 tree schedule	0.7802	N/A	N/A	N/A
a370e42	keep	min child weight 18 on 1000 tree schedule	0.7809	0.7857	0.7825	0.7266
d10606c	discard	min child weight 17 on 1000 tree schedule	0.7806	N/A	N/A	N/A
a3b746f	discard	min child weight 19 on 1000 tree schedule	0.7808	N/A	N/A	N/A
ce7470c	discard	colsample_bytree 1.0	0.7792	N/A	N/A	N/A
b4e34e4	keep	colsample_bytree 0.75	0.7811	0.7867	0.7830	0.7276
86087a4	keep	colsample_bytree 0.65	0.7819	0.7875	0.7837	0.7288
d0c6fb5	discard	colsample_bytree 0.55	0.7816	N/A	N/A	N/A
3b5621f	discard	colsample_bytree 0.60	0.7819	N/A	N/A	N/A
a5e1541	discard	colsample_bytree 0.70	0.7816	N/A	N/A	N/A
2a91b2c	discard	subsample 0.75	0.7812	N/A	N/A	N/A
e1cbaf9	discard	subsample 0.95	0.7818	N/A	N/A	N/A
d9d5c93	keep	subsample 0.90	0.7821	0.7876	0.7840	0.7290
64b2866	discard	subsample 0.88	0.7818	N/A	N/A	N/A
1b4c93d	discard	lossguide max leaves 128 too slow	0.7859	N/A	N/A	N/A
