commit	status	description	cv_auc	test_auc_2005s2_full	test_auc_2005s2_4_5	test_auc_2006_full
7d0b368	keep	baseline unchanged starter model	0.7445	0.7479	0.7454	0.7155
826568d	keep	120 trees lower learning rate explicit hist auc metric	0.7513	0.7552	0.7517	0.7163
f76c3b0	keep	200 trees at 0.03 learning rate	0.7517	0.7556	0.7524	0.7165
8fc0379	discard	reduce max_depth to 4	0.7462	N/A	N/A	N/A
cc49859	keep	increase max_depth to 8	0.7552	0.7601	0.7560	0.7149
11f1073	keep	increase max_depth to 10	0.7595	0.7642	0.7600	0.7140
3c01149	keep	increase max_depth to 12	0.7628	0.7691	0.7633	0.7153
45c7db5	keep	increase max_depth to 14	0.7657	0.7719	0.7662	0.7156
77ade59	keep	add min_child_weight 5 to deep trees	0.7731	0.7799	0.7740	0.7203
6c34e12	keep	raise min_child_weight to 10	0.7747	0.7803	0.7750	0.7207
4aa4e92	discard	raise min_child_weight to 20	0.7727	N/A	N/A	N/A
7637437	discard	max_cat_to_onehot 16 for small categoricals	0.7746	N/A	N/A	N/A
2ed0c2d	discard	max_cat_threshold 32 for categorical regularization	0.7745	N/A	N/A	N/A
0fac8f8	keep	add departure time derived numeric and cyclic features	0.7804	0.7879	0.7821	0.7265
841d3a5	discard	add high-cardinality route categorical feature	0.7793	N/A	N/A	N/A
60714b8	discard	add cyclic calendar and weekend features	0.7802	N/A	N/A	N/A
7ed1b2a	keep	raise max_depth to 16 with time features	0.7818	0.7891	0.7834	0.7265
819cae3	keep	raise max_depth to 18 with time features	0.7825	0.7902	0.7841	0.7262
97192af	keep	raise max_depth to 20 with time features	0.7827	0.7906	0.7841	0.7265
ce852e8	discard	raise min_child_weight to 15	0.7807	N/A	N/A	N/A
8f4d69d	keep	300 trees at 0.02 learning rate	0.7831	0.7914	0.7847	0.7277
9869075	keep	add subsample 0.9	0.7838	0.7911	0.7850	0.7281
e9844a0	discard	lower subsample to 0.8	0.7826	N/A	N/A	N/A
b768081	keep	light subsample 0.95	0.7840	0.7918	0.7851	0.7284
798390e	keep	add colsample_bytree 0.9	0.7870	0.7956	0.7889	0.7304
847e7a3	keep	lower colsample_bytree to 0.8	0.7897	0.7977	0.7907	0.7322
89c886f	keep	lower colsample_bytree to 0.7	0.7907	0.7994	0.7921	0.7335
a15efee	keep	lower colsample_bytree to 0.6	0.7935	0.8026	0.7947	0.7368
3642af5	discard	lower colsample_bytree to 0.5	0.7926	N/A	N/A	N/A
31a6b74	discard	colsample_bytree 0.55 tied best	0.7935	N/A	N/A	N/A
4766104	discard	colsample_bytree 0.65	0.7919	N/A	N/A	N/A
cb64df2	discard	add colsample_bynode 0.9	0.7931	N/A	N/A	N/A
badf2cc	discard	add gamma 0.1 split regularization	0.7935	N/A	N/A	N/A
81514b9	discard	raise reg_lambda to 2	0.7920	N/A	N/A	N/A
9f82898	discard	grow_policy lossguide max_leaves 512	0.7893	N/A	N/A	N/A
172aec3	discard	remove cyclic departure time features	0.7921	N/A	N/A	N/A
3c09a6b	keep	lower reg_lambda to 0.5	0.7938	0.8031	0.7950	0.7369
9f9a739	keep	lower reg_lambda to 0.25	0.7939	0.8035	0.7952	0.7369
5274663	keep	remove reg_lambda	0.7945	0.8038	0.7957	0.7372
35a3c3c	keep	raise max_depth to 22 with no l2	0.7947	0.8043	0.7962	0.7372
c231b8f	keep	raise max_depth to 24 with no l2	0.7950	0.8045	0.7963	0.7376
ce57e9a	discard	max_bin 512	0.7945	N/A	N/A	N/A
00ba05f	discard	max_bin 128	0.7945	N/A	N/A	N/A
88d1710	discard	raise max_depth to 26	0.7946	N/A	N/A	N/A
d81c3a3	discard	add log and sqrt distance transforms	0.7935	N/A	N/A	N/A
ef147ce	discard	add 3-hour departure period categorical	0.7937	N/A	N/A	N/A
7b45d65	keep	400 trees at 0.015 learning rate	0.7957	0.8052	0.7969	0.7373
df5ce5b	keep	500 trees at 0.012 learning rate	0.7958	0.8053	0.7974	0.7378
2b7c718	keep	600 trees at 0.01 learning rate	0.7969	0.8062	0.7981	0.7385
dbb8154	keep	700 trees at 0.0085 learning rate	0.7970	0.8061	0.7984	0.7385
0efcc89	keep	700 trees at 0.009 learning rate	0.7974	0.8071	0.7990	0.7387
f67e930	keep	700 trees at 0.0095 learning rate	0.7986	0.8081	0.7997	0.7388
eb524e5	keep	700 trees at 0.01 learning rate	0.7992	0.8088	0.8005	0.7388
47dcfbe	keep	700 trees at 0.011 learning rate	0.8003	0.8102	0.8017	0.7387
6ef12b1	keep	700 trees at 0.012 learning rate	0.8012	0.8113	0.8029	0.7383
71510ad	keep	700 trees at 0.013 learning rate	0.8024	0.8123	0.8037	0.7384
