commit	status	description	cv_auc	test_auc_2005s2_full	test_auc_2005s2_4_5	test_auc_2006_full
7d0b368	keep	baseline (n_estimators=30, max_depth=6, lr=0.1)	0.7445	0.7479	0.7454	0.7155
74f86c5	keep	n_estimators=200, lr=0.05	0.7534	0.7580	0.7544	0.7152
235c8ab	keep	n_estimators=500, lr=0.03	0.7556	0.7604	0.7563	0.7147
72835a1	keep	n_estimators=1000, lr=0.02	0.7573	0.7626	0.7586	0.7140
43b944b	keep	max_depth=8	0.7623	0.7699	0.7627	0.7145
fec243b	keep	subsample=0.8, colsample_bytree=0.8	0.7635	0.7689	0.7636	0.7114
5b860e0	keep	add DepHour, DepMinute features	0.7673	0.7738	0.7684	0.7150
4be41a7	discard	add Route=Origin_Dest categorical (overfit, slow)	0.7482	N/A	N/A	N/A
89b6ba9	keep	max_depth=10	0.7750	0.7821	0.7758	0.7150
9490159	keep	min_child_weight=5	0.7843	0.7909	0.7852	0.7187
52e8665	keep	min_child_weight=10	0.7871	0.7937	0.7883	0.7202
adc2a58	keep	min_child_weight=20	0.7875	0.7939	0.7891	0.7215
5c15f06	discard	min_child_weight=50 (too regularized)	0.7840	N/A	N/A	N/A
2a06041	keep	max_depth=12	0.7899	0.7969	0.7910	0.7222
1510f8b	keep	max_depth=14	0.7903	0.7983	0.7917	0.7230
05d0a8d	keep	cyclical encoding for DepHour (sin/cos)	0.7928	0.8009	0.7946	0.7250
a2b76e3	discard	cyclical encoding for Month, DayOfWeek (redundant w/ cat)	0.7919	N/A	N/A	N/A
d496c51	discard	add IsWeekend, IsRedeye binaries (redundant w/ existing)	0.7914	N/A	N/A	N/A
27a52b4	discard	gamma=1 (no effect)	0.7927	N/A	N/A	N/A
9385d86	keep	max_bin=512	0.7934	0.8014	0.7951	0.7253
9dffe08	discard	max_bin=1024 (gain ~ noise; keep simpler)	0.7936	N/A	N/A	N/A
934524b	discard	grow_policy=lossguide max_leaves=128	0.7872	N/A	N/A	N/A
36885e9	discard	add Carrier_Origin (over 60s budget)	0.7938	N/A	N/A	N/A
8ca9f4e	discard	depth=12 + n=1300 + lr=0.015	0.7927	N/A	N/A	N/A
51f218b	discard	HourDOW interaction (hurts)	0.7816	N/A	N/A	N/A
585f562	discard	reg_lambda=5	0.7925	N/A	N/A	N/A
d3e9d53	keep	max_cat_to_onehot=32 (one-hot low-card cats)	0.7977	0.8088	0.7997	0.7409
1ed04ee	discard	max_cat_to_onehot=350 (Origin/Dest one-hot hurts)	0.7840	N/A	N/A	N/A
3864acd	keep	max_depth=16	0.8002	0.8114	0.8019	0.7415
1b60376	keep	max_depth=18	0.8017	0.8136	0.8035	0.7421
cc0f5ef	keep	max_depth=20	0.8026	0.8149	0.8046	0.7425
2ba4790	keep	max_depth=24	0.8035	0.8162	0.8057	0.7425
4d77e18	keep	max_depth=32	0.8040	0.8168	0.8058	0.7425
4d0ef90	discard	mcw=10 (over budget 73.6s but +0.0081)	0.8121	N/A	N/A	N/A
43f0c2c	discard	mcw=10 + n=800 (over budget 61s)	0.8105	N/A	N/A	N/A
281df97	discard	mcw=10 + subsample=0.6 (over budget 63s)	0.8062	N/A	N/A	N/A
078b95a	keep	mcw=10 + n=700	0.8092	0.8223	0.8111	0.7457
6d20777	discard	mcw=5 + n=600 (over budget 68s)	0.8141	N/A	N/A	N/A
95a5464	keep	mcw=5 + n=500	0.8126	0.8267	0.8146	0.7480
e18ee45	discard	mcw=3 + n=400 (over budget 66s)	0.8139	N/A	N/A	N/A
5cbc182	discard	subsample=0.5 (too aggressive)	0.8026	N/A	N/A	N/A
9ff1b1b	discard	depth=24 + mcw=5 + n=600 (over budget 62.9s)	0.8134	N/A	N/A	N/A
46e415e	discard	remove DepTime	0.8043	N/A	N/A	N/A
4866e9c	discard	max_cat_threshold=256 (over budget 66.7s)	0.8127	N/A	N/A	N/A
efea4c2	discard	max_bin=256 (-0.001 alone)	0.8116	N/A	N/A	N/A
067f44c	discard	max_bin=256 + n=550	0.8124	N/A	N/A	N/A
2f8be9d	discard	colsample_bynode=0.8	0.8114	N/A	N/A	N/A
2bd2911	discard	depth=24 + mcw=3 + n=500 (over budget 69.5s)	0.8150	N/A	N/A	N/A
65e5d80	keep	depth=24 + mcw=3 + n=400	0.8130	0.8265	0.8142	0.7486
34e104b	discard	add CarrierHour interaction (over budget 76s)	0.8247	N/A	N/A	N/A
16e83e2	discard	+CarrierHour, n=300 (60.4s slightly over)	0.8212	N/A	N/A	N/A
423a9a5	keep	+CarrierHour, n=250	0.8185	0.8332	0.8207	0.7558
c5ca493	keep	+CarrierHour, n=280	0.8203	0.8353	0.8225	0.7563
5ab2073	discard	+CarrierMonth, n=200 (big regression)	0.7935	N/A	N/A	N/A
5753050	discard	+HourMonth, n=240 (big regression)	0.7940	N/A	N/A	N/A
0ec3d9c	discard	mcw=2 + n=240 (over budget 64s)	0.8205	N/A	N/A	N/A
8e52c33	keep	lr=0.03	0.8245	0.8399	0.8266	0.7562
d561952	keep	lr=0.05	0.8262	0.8422	0.8281	0.7539
0ee22d1	discard	lr=0.08 (slight reg)	0.8257	N/A	N/A	N/A
c27f6e6	keep	n=350	0.8277	0.8437	0.8297	0.7538
59ee415	keep	n=380	0.8279	0.8440	0.8300	0.7536
cc2175c	discard	lr=0.06 (flat)	0.8278	N/A	N/A	N/A
abbc36b	discard	mcw=2 + n=320 (over budget 61s)	0.8284	N/A	N/A	N/A
ed730f3	keep	mcw=2 + n=300	0.8281	0.8445	0.8302	0.7544
4cfa775	discard	+DistBand (over budget 60.3s, no gain)	0.8279	N/A	N/A	N/A
a57d904	discard	remove DepHour_sin/cos	0.8275	N/A	N/A	N/A
f5ac6d2	discard	remove DepMinute (huge regression)	0.8107	N/A	N/A	N/A
e7e637c	discard	+CarrierDOW, n=240 (regression)	0.7996	N/A	N/A	N/A
e5e1ba8	discard	OriginHour replace (over budget, high-card)	0.8140	N/A	N/A	N/A
769f79e	discard	max_delta_step=1	0.8275	N/A	N/A	N/A
f539a45	discard	mcw=2 n=320 max_bin=256	0.8275	N/A	N/A	N/A
c7d578d	discard	mcw=1 n=240 (over budget 70.6s)	0.8264	N/A	N/A	N/A
b204d78	discard	colsample_bytree=1.0 (over budget 66.8s)	0.8293	N/A	N/A	N/A
7422131	discard	cs=1.0 n=260 (over budget 62.1s)	0.8284	N/A	N/A	N/A
c61722c	discard	cs=1.0 n=240 (flat)	0.8280	N/A	N/A	N/A
f143b25	discard	depth=20 + n=340	0.8273	N/A	N/A	N/A
3bf68b9	discard	num_parallel_tree=2 n=150 (over budget 79s)	0.8252	N/A	N/A	N/A
4cc5b84	discard	cs=0.9 n=280 max_bin=256	0.8273	N/A	N/A	N/A
92413f2	discard	+DepMin (over budget 65s, flat)	0.8281	N/A	N/A	N/A
840930b	discard	mcw=4 n=380	0.8263	N/A	N/A	N/A
2218b0e	discard	random_state=0 (60.1s, noise)	0.8284	N/A	N/A	N/A
