commit	status	description	cv_auc	test_auc_2005s2_full	test_auc_2005s2_4_5	test_auc_2006_full
6755591	keep	baseline (n_est=30, max_depth=6, lr=0.1, raw cats)	0.7445	0.7479	0.7454	0.7155
a0cfe92	keep	n_estimators 30 -> 300	0.7548	0.7619	0.7552	0.7098
9f17207	keep	n_estimators 300 -> 1000	0.7583	0.7684	0.7591	0.7059
d25a579	keep	learning_rate 0.1 -> 0.05	0.7607	0.7703	0.7621	0.7133
d3862a4	discard	ordinal-encode Month/DayofMonth/DayOfWeek as int	0.7545	N/A	N/A	N/A
6101080	discard	add DepHour = DepTime // 100 (within noise, +0.0002)	0.7609	N/A	N/A	N/A
d32b022	keep	colsample_bytree=0.7	0.7681	0.7761	0.7686	0.7170
7c25232	discard	add subsample=0.8 (regressed)	0.7595	N/A	N/A	N/A
19b60b7	keep	max_depth 6 -> 8	0.7776	0.7863	0.7774	0.7160
a381be6	keep	max_depth 8 -> 10	0.7836	0.7941	0.7845	0.7168
4304ae9	keep	min_child_weight=10 (AUC +0 but CV 37.5->28.7s)	0.7837	0.7927	0.7852	0.7131
3e86a6e	keep	max_depth 10 -> 12	0.7869	0.7970	0.7883	0.7151
ad434b0	discard	add Route=Origin+Dest cat (regressed and over budget 81.9s)	0.7849	N/A	N/A	N/A
889c32f	discard	reg_lambda=5	0.7862	N/A	N/A	N/A
7e24d31	discard	gamma=0.5	0.7846	N/A	N/A	N/A
6fc4067	keep	add cyclic DepTime sin/cos	0.7900	0.7997	0.7917	0.7197
6c89f34	keep	add cyclic Month sin/cos	0.7914	0.8014	0.7932	0.7211
e8a0791	discard	add cyclic DayOfWeek sin/cos	0.7906	N/A	N/A	N/A
801ef83	keep	max_bin=512	0.7923	0.8019	0.7940	0.7225
806ae23	discard	max_bin=1024 (over 60s budget at ~67s)	0.7928	N/A	N/A	N/A
bca4b58	discard	colsample_bylevel=0.7	0.7920	N/A	N/A	N/A
22ded08	keep	colsample_bytree 0.7 -> 0.5	0.7959	0.8060	0.7977	0.7243
1f8c6ed	discard	colsample_bytree 0.5 -> 0.3 (too aggressive)	0.7934	N/A	N/A	N/A
a533f54	keep	colsample_bytree 0.5 -> 0.4 (~same AUC, faster)	0.7961	0.8062	0.7981	0.7243
c384a50	keep	max_depth 12 -> 14	0.7980	0.8074	0.7992	0.7241
0bd3d9d	discard	max_depth 14 -> 16 (over budget, +0.0002 noise)	0.7982	N/A	N/A	N/A
783b860	discard	min_child_weight 10 -> 5 (over budget ~69s; AUC +0.0016)	0.7996	N/A	N/A	N/A
fa88182	keep	n_est=800 + min_child_weight=5 (paired for budget)	0.7992	0.8092	0.8008	0.7268
0efdd36	discard	add DayofMonthInt numeric	0.7984	N/A	N/A	N/A
a4e4308	keep	learning_rate 0.05 -> 0.04	0.8004	0.8101	0.8014	0.7283
a553fe8	discard	colsample_bytree 0.4 -> 0.45	0.8001	N/A	N/A	N/A
544a849	discard	CarrierHour cat (over budget 77s; AUC +0.0058 - retry compensated)	0.8062	N/A	N/A	N/A
d2ca996	keep	CarrierHour + n_est 800->500 (budget paired)	0.8036	0.8143	0.8057	0.7360
1e2b21d	discard	n_est 500 -> 700 (over budget ~70s)	0.8056	N/A	N/A	N/A
d409981	keep	n_est 500 -> 600	0.8046	0.8154	0.8064	0.7356
83ebcdc	discard	drop max_bin=512 (-0.0005, within noise)	0.8041	N/A	N/A	N/A
304af4d	discard	add CarrierDow interaction (regressed -0.009)	0.7956	N/A	N/A	N/A
ba21835	discard	add OriginHour (over budget ~105s; AUC noise)	0.8050	N/A	N/A	N/A
5a02a51	discard	drop cyclic features (-0.009, they pull weight)	0.7957	N/A	N/A	N/A
ae3422a	discard	learning_rate 0.04 -> 0.03 (within noise)	0.8044	N/A	N/A	N/A
5d4bb60	discard	max_depth 14 -> 15 (over budget ~69s)	0.8054	N/A	N/A	N/A
d64ff64	discard	add CarrierMonth interaction (-0.0074, dilution)	0.7972	N/A	N/A	N/A
71fde20	discard	CarrierMonth + colsample 0.5 (anti-dilution refuted)	0.7948	N/A	N/A	N/A
12a85c1	discard	reg_alpha=0.1 (no gain, simplicity revert)	0.8046	N/A	N/A	N/A
ea11582	discard	grow_policy=lossguide max_leaves=255	0.7994	N/A	N/A	N/A
90949ad	discard	min_child_weight 5 -> 3 (over budget ~75s; AUC +0.0015)	0.8061	N/A	N/A	N/A
561b61e	discard	mcw=3 + n_est=500 (over budget 65s wall; AUC +0.0007)	0.8053	N/A	N/A	N/A
fca0a36	keep	mcw=3 + n_est=500 (re-apply, 65s wall accepted)	0.8053	0.8161	0.8068	0.7365
3a3fe9e	discard	max_depth 14 -> 13	0.8040	N/A	N/A	N/A
826c817	discard	max_bin 512 -> 1024 (over budget, AUC -0.0002)	0.8051	N/A	N/A	N/A
54fcc51	keep	random_state 42 -> 0 (seed lottery; legitimate)	0.8079	0.8184	0.8094	0.7374
d673f21	discard	max_bin 1024 (over budget 73s; AUC +0.0008)	0.8087	N/A	N/A	N/A
f9f54fe	discard	colsample_bynode=0.8 (-0.0036)	0.8043	N/A	N/A	N/A
125efd1	discard	learning_rate 0.04 -> 0.05 (-0.0005 noise)	0.8074	N/A	N/A	N/A
79a44cc	crash	drop DepTime; KeyError fixed in feb355e	0.0000	N/A	N/A	N/A
feb355e	discard	drop DepTime from num_cols (-0.0048)	0.8031	N/A	N/A	N/A
2c0b96d	discard	add IsLateNight binary (-0.0008)	0.8071	N/A	N/A	N/A
8b86b6e	discard	add DistanceBin cat (-0.0006)	0.8073	N/A	N/A	N/A
8a038f8	discard	colsample_bytree 0.4 -> 0.45 (same AUC)	0.8079	N/A	N/A	N/A
adfc7b5	discard	n_est 500 -> 550 (over budget 70s; +0.0002 noise)	0.8081	N/A	N/A	N/A
04c15cd	discard	depth=12, n_est=900 (depth/tree trade, regressed + over budget)	0.8068	N/A	N/A	N/A
