commit	status	description	cv_auc	test_auc_2005s2_full	test_auc_2005s2_4_5	test_auc_2006_full
7d0b368	keep	baseline (n_estimators=30, max_depth=6, lr=0.1)	0.7445	0.7479	0.7454	0.7155
0f2d437	keep	n_estimators 30 -> 200	0.7538	0.7603	0.7540	0.7124
13ac8e2	keep	n_estimators 200 -> 500	0.7563	0.7645	0.7566	0.7078
026e66d	keep	lr 0.1 -> 0.05, n_estimators 500 -> 1000	0.7607	0.7703	0.7621	0.7133
9fc6a5a	keep	add DepHour and DepMinute features	0.7695	0.7783	0.7706	0.7160
5f9be45	discard	add OriginDest route categorical (~4200 levels) -- big regression	0.7451	N/A	N/A	N/A
0de93d2	keep	max_depth 6 -> 8	0.7753	0.7865	0.7771	0.7172
1cd184e	discard	subsample=0.8, colsample_bytree=0.8 -- regression	0.7656	N/A	N/A	N/A
c257718	keep	max_depth 8 -> 10	0.7806	0.7910	0.7811	0.7183
86470fb	keep	min_child_weight 1 -> 5	0.7841	0.7930	0.7848	0.7149
d6166e9	keep	min_child_weight 5 -> 10	0.7853	0.7938	0.7863	0.7142
53ef5a8	discard	re-add OriginDest with mcw=10 -- still hurts, also over time budget (71s)	0.7845	N/A	N/A	N/A
55fa445	discard	gamma 0 -> 0.1 -- equal AUC, more complex	0.7853	N/A	N/A	N/A
999f845	discard	drop DepTime -- not redundant after all	0.7800	N/A	N/A	N/A
3762829	keep	n_estimators 1000 -> 1500	0.7865	0.7955	0.7878	0.7127
c36657a	discard	add LogDistance -- equal AUC, more complex	0.7865	N/A	N/A	N/A
f4525e8	discard	add ordinal cats Month/DayofMonth/DayOfWeek -- equal AUC, redundant	0.7865	N/A	N/A	N/A
fae2b8a	keep	lr 0.05 -> 0.04 (variance down 0.0042 -> 0.0032)	0.7866	0.7949	0.7879	0.7141
4627b9a	discard	lr 0.04 -> 0.03 -- equal AUC, variance up	0.7866	N/A	N/A	N/A
a8d44d4	crash	lossguide max_leaves=512 -- exceeded time budget (>2.5min, killed)	0.0000	N/A	N/A	N/A
2c8823d	discard	add MinutesOfDay -- equal AUC, more complex	0.7866	N/A	N/A	N/A
616c7ab	discard	reg_lambda 1 -> 5 -- too aggressive	0.7848	N/A	N/A	N/A
61851ca	keep	min_child_weight 10 -> 20	0.7873	0.7958	0.7895	0.7132
8d80e45	keep	min_child_weight 20 -> 40	0.7874	0.7963	0.7895	0.7146
b0df901	keep	min_child_weight 40 -> 80	0.7882	0.7958	0.7888	0.7157
dfff153	discard	min_child_weight 80 -> 160 -- too aggressive, underfit	0.7826	N/A	N/A	N/A
a054b2f	discard	min_child_weight 80 -> 120 -- mcw=80 is the optimum	0.7863	N/A	N/A	N/A
6c4c99c	discard	max_depth 10 -> 11 -- equal AUC, more complex	0.7881	N/A	N/A	N/A
9078a38	keep	n_estimators 1500 -> 2000	0.7887	0.7967	0.7894	0.7134
daa4e84	keep	n_estimators 2000 -> 2500	0.7891	0.7974	0.7897	0.7118
33d9719	discard	n_estimators 2500 -> 2800 -- equal AUC and over budget (62.5s)	0.7891	N/A	N/A	N/A
9d4d742	discard	lr 0.04 -> 0.03 with n_est=2500 -- worse	0.7888	N/A	N/A	N/A
109857f	discard	mcw 80 -> 60 fine-tune -- worse	0.7888	N/A	N/A	N/A
a37d7c9	discard	mcw 80 -> 100 -- worse, mcw=80 confirmed optimum	0.7881	N/A	N/A	N/A
ffdf899	discard	max_bin 256 -> 512 -- equal AUC, more complex	0.7890	N/A	N/A	N/A
268e2d7	discard	lr 0.04 -> 0.05 with n_est=2500 -- worse	0.7882	N/A	N/A	N/A
0f90d8d	keep	add CarrierHour interaction categorical (~600 levels)	0.7896	0.7989	0.7906	0.7130
1234cc3	discard	also add DayHour interaction -- big regression and over budget	0.7824	N/A	N/A	N/A
15f6e92	keep	with CarrierHour, n_est 2500 -> 2000 (simpler, equal AUC, faster)	0.7896	0.7983	0.7904	0.7147
5d21396	discard	n_est 2000 -> 1500 -- worse, n_est=2000 is sweet spot with CarrierHour	0.7888	N/A	N/A	N/A
cf021ad	discard	max_depth 10 -> 11 with CarrierHour -- worse	0.7892	N/A	N/A	N/A
f5a7fcc	discard	also add CarrierMonth interaction -- worse	0.7888	N/A	N/A	N/A
2bdb6fa	discard	drop DepMinute simplification -- big regression, DepMinute is critical	0.7801	N/A	N/A	N/A
2162446	keep	with CarrierHour, mcw 80 -> 70 (new optimum)	0.7902	0.8001	0.7916	0.7163
