commit	CV_AUC	status	description
7d0b368	0.7445	keep	baseline (n_estimators=30, max_depth=6, lr=0.1)
0f2d437	0.7538	keep	n_estimators 30 -> 200
13ac8e2	0.7563	keep	n_estimators 200 -> 500
026e66d	0.7607	keep	lr 0.1 -> 0.05, n_estimators 500 -> 1000
9fc6a5a	0.7695	keep	add DepHour and DepMinute features
5f9be45	0.7451	discard	add OriginDest route categorical (~4200 levels) -- big regression
0de93d2	0.7753	keep	max_depth 6 -> 8
1cd184e	0.7656	discard	subsample=0.8, colsample_bytree=0.8 -- regression
c257718	0.7806	keep	max_depth 8 -> 10
86470fb	0.7841	keep	min_child_weight 1 -> 5
d6166e9	0.7853	keep	min_child_weight 5 -> 10
53ef5a8	0.7845	discard	re-add OriginDest with mcw=10 -- still hurts, also over time budget (71s)
55fa445	0.7853	discard	gamma 0 -> 0.1 -- equal AUC, more complex
999f845	0.7800	discard	drop DepTime -- not redundant after all
3762829	0.7865	keep	n_estimators 1000 -> 1500
c36657a	0.7865	discard	add LogDistance -- equal AUC, more complex
f4525e8	0.7865	discard	add ordinal cats Month/DayofMonth/DayOfWeek -- equal AUC, redundant
fae2b8a	0.7866	keep	lr 0.05 -> 0.04 (variance down 0.0042 -> 0.0032)
4627b9a	0.7866	discard	lr 0.04 -> 0.03 -- equal AUC, variance up
a8d44d4	0.0000	crash	lossguide max_leaves=512 -- exceeded time budget (>2.5min, killed)
2c8823d	0.7866	discard	add MinutesOfDay -- equal AUC, more complex
616c7ab	0.7848	discard	reg_lambda 1 -> 5 -- too aggressive
61851ca	0.7873	keep	min_child_weight 10 -> 20
8d80e45	0.7874	keep	min_child_weight 20 -> 40
b0df901	0.7882	keep	min_child_weight 40 -> 80
dfff153	0.7826	discard	min_child_weight 80 -> 160 -- too aggressive, underfit
a054b2f	0.7863	discard	min_child_weight 80 -> 120 -- mcw=80 is the optimum
6c4c99c	0.7881	discard	max_depth 10 -> 11 -- equal AUC, more complex
9078a38	0.7887	keep	n_estimators 1500 -> 2000
daa4e84	0.7891	keep	n_estimators 2000 -> 2500
33d9719	0.7891	discard	n_estimators 2500 -> 2800 -- equal AUC and over budget (62.5s)
9d4d742	0.7888	discard	lr 0.04 -> 0.03 with n_est=2500 -- worse
109857f	0.7888	discard	mcw 80 -> 60 fine-tune -- worse
a37d7c9	0.7881	discard	mcw 80 -> 100 -- worse, mcw=80 confirmed optimum
ffdf899	0.7890	discard	max_bin 256 -> 512 -- equal AUC, more complex
268e2d7	0.7882	discard	lr 0.04 -> 0.05 with n_est=2500 -- worse
0f90d8d	0.7896	keep	add CarrierHour interaction categorical (~600 levels)
1234cc3	0.7824	discard	also add DayHour interaction -- big regression and over budget
15f6e92	0.7896	keep	with CarrierHour, n_est 2500 -> 2000 (simpler, equal AUC, faster)
5d21396	0.7888	discard	n_est 2000 -> 1500 -- worse, n_est=2000 is sweet spot with CarrierHour
cf021ad	0.7892	discard	max_depth 10 -> 11 with CarrierHour -- worse
f5a7fcc	0.7888	discard	also add CarrierMonth interaction -- worse
2bdb6fa	0.7801	discard	drop DepMinute simplification -- big regression, DepMinute is critical
2162446	0.7902	keep	with CarrierHour, mcw 80 -> 70 (new optimum)
8482256	0.7912	keep	mcw 70 -> 60
f5b7759	0.7930	keep	mcw 60 -> 40
eaff982	0.7953	discard	mcw 40 -> 30 -- AUC win but total wall 88s over budget
75cdd4e	0.7943	keep	mcw 40 -> 35 (CV 59.8s, in budget)
85d3b2b	0.7950	keep	mcw=30 with n_est=1500 (fits budget, beats mcw=35 n_est=2000)
325c742	0.7970	keep	mcw 30 -> 20 (huge jump)
e0aa334	0.8000	discard	mcw 20 -> 10 -- huge AUC win but 87s over budget
80181da	0.7995	keep	mcw=10 with n_est=1200 (CV 50s in budget)
88cfa35	0.8014	keep	mcw 10 -> 5
3a609c3	0.8039	discard	mcw 5 -> 3 (CV 62.3s over budget)
535dec1	0.8035	keep	mcw=3 with n_est=1000
8520086	0.8040	keep	mcw 3 -> 2
81125fa	0.8048	discard	mcw 2 -> 1 (CV 61.8s over budget)
6c558e8	0.8039	discard	mcw=1 with n_est=800 -- worse than mcw=2 n_est=1000
31d676e	0.8043	keep	mcw=1 with n_est=900
d0c4406	0.8032	discard	max_depth 10 -> 11 in mcw=1 regime -- worse and over budget
f2e17d8	0.8042	discard	lr 0.04 -> 0.03 (mcw=1) -- equal AUC variance better
943417c	0.7890	discard	also add DayHour (mcw=1 regime) -- still hurts huge
941e32a	0.8044	keep	max_depth 10 -> 9 (faster CV 42s)
173324c	0.8040	discard	max_depth 9 -> 8 -- worse
b942c1d	0.8056	keep	with depth=9, n_est 900 -> 1200
7e9326a	0.8061	discard	n_est 1200 -> 1500 -- AUC win but CV 67s over budget
e72eda4	0.8058	keep	n_est 1200 -> 1300 (CV 59.7s edge)
fe549aa	0.8059	keep	lr 0.04 -> 0.035
8968478	0.8060	discard	lr 0.035 -> 0.03 -- CV 61s over budget
