commit	CV_AUC	status	description
7d0b368	0.7445	keep	baseline (n_estimators=30, max_depth=6, lr=0.1, native categorical)
f6ed2ec	0.7548	keep	n_estimators 30 -> 300 (lr=0.1)
0f8e43e	0.7607	keep	n_estimators 300 -> 1000, lr 0.1 -> 0.05
dc090da	0.7626	keep	n_estimators 1000 -> 2000, lr 0.05 -> 0.03 (diminishing returns)
3a48f23	0.7728	keep	add Hour categorical (DepTime // 100)
658a0d6	0.0000	discard	add Route Origin_Dest categorical (TIMEOUT >90s, ~5000 cats too slow)
7c84138	0.7643	discard	add subsample=0.8 colsample_bytree=0.8 (hurts)
3f80aa1	0.7596	discard	drop DepTime numeric (Hour alone insufficient)
c192ddd	0.0000	discard	max_depth 6 -> 8 (TIMEOUT >90s)
e7623ab	0.7749	keep	min_child_weight 1 -> 5
81197d2	0.7779	keep	min_child_weight 5 -> 20
6ea5004	0.7792	keep	min_child_weight 20 -> 50
f970fb4	0.7781	discard	min_child_weight 50 -> 100 (past peak)
dddd06e	0.7812	keep	max_depth 6 -> 7
afda806	0.7648	discard	add gamma=1.0 (too aggressive)
a0e2e6a	0.7808	discard	reg_lambda 1 -> 5 (no help)
56191d8	0.7804	discard	subsample=0.9 (no help)
31ebbd2	0.7711	discard	add Hour_DOW interaction (hurts, XGB learns implicitly)
9f4e08d	0.7810	discard	max_cat_threshold 64 -> 16 (no help)
42d7fe2	0.0000	discard	n_est 2000->3000 lr 0.03->0.02 (TIMEOUT)
03d0ec8	0.7809	discard	reg_alpha=1.0 (no help)
179bff9	0.7768	discard	manual CV + early stopping (8k row loss > ES gain)
33e16c5	0.7746	discard	drop DayofMonth (real signal, hurts)
19c5934	0.7807	discard	max_depth 7->8, n_est 2000->1200 (no help, runtime 32s)
8da5253	0.7814	keep	max_depth=8, n_est=1500 (+0.0002, marginal)
a5a8593	0.7820	keep	n_est 1500->1800 at depth=8
ad35d3c	0.7820	discard	n_est 1800->2000 at depth=8 (saturated)
81e6b2a	0.7812	discard	lr 0.03->0.025 at depth=8 n_est=1800 (no help)
