commit	CV_AUC	status	description
c6ab6ca	0.7445	keep	baseline (n_estimators=30, max_depth=6, lr=0.1, enable_categorical=True)
cc94b1a	0.7548	keep	n_estimators 30 -> 300
e4e6f68	0.7607	keep	n_estimators 300 -> 1000, lr 0.1 -> 0.05
a84b896	0.7629	keep	n_estimators 1000 -> 2000
6574d93	0.7490	discard	subsample=0.8, colsample_bytree=0.8 (added regularization, but model is underfit -> hurt)
0d12282	0.7686	discard	max_depth 6 -> 8 (great AUC but total run 74s > 60s budget)
6a2339a	0.7665	keep	max_depth 8 + n_estimators 1000 (back off trees to stay in budget)
dc343ed	0.7702	discard	max_depth 8 -> 10 (great AUC 0.7702 but total run 68s > 60s budget)
6bb9b96	0.7689	keep	max_depth 8 -> 10 + n_estimators 1000 -> 700 (fit budget)
bd3a663	0.7699	keep	max_depth 10 -> 12, n_estimators 700 -> 500 (marginal +0.0010, near noise)
299791e	0.7776	discard	FE: DepHour categorical (great +0.0077 but 76s, over budget)
514122f	0.7751	keep	FE: DepHour + n_estimators 500 -> 350 (in budget, +0.0052)
5723626	0.0000	crash	FE: add Route (Origin+Dest) categorical (timeout >90s; high-cardinality blew up runtime)
8299ce3	0.7743	discard	max_cat_threshold 64 -> 256 (slight regression, slower)
6ec7c6f	0.7754	keep	depth 12 -> 10, n_estimators 350 -> 600 (with FE; std tighter, +0.0003)
bdd0bb5	0.7732	discard	lr 0.05 -> 0.03 (model needs more "fit per step", not less)
96e80f2	0.7800	keep	min_child_weight 1 -> 5 (+0.0046, also faster: fewer tiny leaves)
db60de3	0.7819	discard	n_estimators 600 -> 1000 (+0.0019 but 76s, over budget)
afa185e	0.7812	discard	n_estimators 600 -> 800 (+0.0012 but 62s, just over budget)
b364f6a	0.7803	keep	min_child_weight 5 -> 10 (+0.0003 + faster, frees budget)
896e218	0.7809	keep	n_estimators 600 -> 800 (with mcw=10, +0.0006, 56s in budget)
774b1d4	0.7823	keep	depth 10 -> 12, n_est 800 -> 500 (mcw=10 enables this; +0.0014, std tighter)
0fe4b48	0.7829	keep	n_estimators 500 -> 600 (+0.0006, 57s in budget)
eddb268	0.7799	discard	gamma 0 -> 0.5 (too aggressive, trees became sparse)
ac5dbda	0.7829	discard	FE: DepTime (HHMM) -> DepMinutes (uniform) — no change (hist method bins anyway)
4164968	0.7825	discard	gamma 0 -> 0.1 (slight regression)
7876953	0.0000	crash	grow_policy=lossguide + max_leaves=256 (timeout >90s)
dd16d11	0.7818	discard	lr 0.05 -> 0.07 (lr=0.05 confirmed sweet spot)
2a667af	0.7828	discard	min_child_weight 10 -> 20 (-0.0001, mcw=10 sweet spot)
7235c1e	0.0000	crash	manual CV with ES, n_est=3000, lr=0.02 (timeout — too many trees)
0c9afd4	0.7793	discard	manual CV with ES, n_est=1000, lr=0.04 (-0.0036; 10% inner val costs more than ES gains)
544f528	0.7813	discard	reg_lambda 1 -> 5
b2b53c5	0.7873	keep	colsample_bytree 1.0 -> 0.8 (alone, +0.0044, BIG win at depth=12/mcw=10)
0d9466d	0.7850	discard	add subsample=0.8 on top of colsample (subsample still hurts)
5ca7025	0.7907	keep	colsample_bytree 0.8 -> 0.6 (+0.0034)
04a554d	0.7869	discard	colsample_bytree 0.6 -> 0.4 (too aggressive)
3f3176d	0.7904	discard	colsample_bytree 0.6 -> 0.5 (within noise, slightly down)
6a66da8	0.7908	keep	n_estimators 600 -> 700 (+0.0001, in budget 55s)
ecc41db	0.7900	discard	add colsample_bylevel=0.8 (-0.0008)
a2dd1f9	0.7907	discard	mcw 10 -> 5 (no AUC gain + over budget 66s)
571e3dc	0.7903	discard	add colsample_bynode=0.8
fa0ca75	0.7911	keep	depth 12->14, n_est 700->450 (+0.0003, fast: mcw+colsample keep trees small)
3c955b5	0.7924	discard	n_est 450 -> 700 (+0.0013 but 66s, over budget)
89c8db8	0.7923	keep	n_est 450 -> 600 (+0.0012, 58s in budget)
ea2d41a	0.7902	discard	mcw 10 -> 20 (mcw=10 still sweet)
2e9b721	0.7924	keep	depth 14->16, n_est 600->400 (+0.0001)
deb99da	0.7932	keep	n_est 400 -> 550 (+0.0008, 58s)
ab4cf1b	0.7917	discard	colsample_bytree 0.6 -> 0.7 (worse, 0.6 still right)
952c783	0.7926	discard	depth 16->18, n_est 550->400 (depth=16 sweet)
a8aa4fe	0.7910	discard	FE: add DayOfYear numeric (redundant with Month+DayofMonth)
e86644c	0.7935	discard	mcw 10 -> 8 (+0.0003 but 62s over budget)
0c2488e	0.7930	discard	mcw 10 -> 12 (mcw=10 sweet)
d459a12	0.7894	discard	drop DayofMonth (-0.0038, has real signal)
84fa9f5	0.8022	keep	FE: DepHour -> DepHalfHour (48 buckets) — BIG WIN +0.0090
b67d432	0.8042	discard	FE: Dep15Min (96 buckets) — +0.0020 but 60.2s over budget
558173d	0.8032	keep	FE: Dep15Min + n_est 550 -> 500 (in budget, +0.0010)
ba1d3bd	0.8007	discard	FE: Dep10Min (144 buckets, too granular)
145cbc6	0.8038	keep	n_est 500 -> 525 (with Dep15Min, in budget 58s)
78329ec	0.8047	keep	FE: Dep15Min -> Dep20Min (72 buckets, 58s)
1136bd3	0.8053	keep	lr 0.05 -> 0.04 (with Dep20Min, +0.0006, std tighter)
6e6ea09	0.8046	discard	lr 0.04 -> 0.03 (lr=0.04 sweet at this setup)
902ecce	0.8037	discard	colsample_bytree 0.6 -> 0.5
f582864	0.8054	discard	max_cat_threshold 64 -> 128 (+0.0001 but 62s over budget)
2dbc1d9	0.8058	keep	gamma 0 -> 0.01 (+0.0005, 60s tight)
d06405e	0.8047	discard	gamma 0.01 -> 0.05
74303e9	0.8059	discard	add DepHour alongside Dep20Min (+0.0001 but 63s over budget)
4ae1d1d	0.7978	discard	drop DepTime (Dep20Min not enough; sub-bucket position matters)
889488b	0.8095	discard	FE: add DepMinute (+0.0037 BIG but 61s over budget)
2c4cdde	0.8089	keep	FE: DepMinute + n_est 525->475 (+0.0031, 56s)
203edf0	0.8093	keep	n_est 475 -> 500 (+0.0004, 59s)
0e1f17a	0.8090	discard	FE: Dep20Min -> DepHalfHour with DepMinute
15436d5	0.8018	discard	DepMinute as cat (-0.0075; numeric ordering matters)
07d76dc	0.7932	discard	drop UniqueCarrier (-0.0161, essential signal)
5187366	0.8096	keep	subsample 1.0 -> 0.95 (mild, +0.0003)
989f6f3	0.8086	discard	subsample 0.95 -> 0.9
b0b0509	0.8099	discard	depth 16 -> 18 (+0.0003 but 60.6s over budget)
865dcd5	0.8095	discard	depth 18 + n_est 475 (depth=16 still better at n_est=500)
26777d8	0.8086	discard	add colsample_bynode=0.8
e7ad324	0.8087	discard	FE: Dep20Min -> Dep15Min (revisit; Dep20Min still better)
1de33a3	0.8130	discard	FE: add CarrierOrigin (+0.0034 BIG but 79s way over)
61607fb	0.8101	keep	FE: CarrierOrigin + n_est 500->350 (in budget, +0.0005)
2b6d7e3	0.8113	discard	n_est 350->400 (+0.0012 but 66s over budget)
f68d70b	0.8106	discard	n_est 350->370 (+0.0005 but 62.5s over budget)
b06430b	0.8120	discard	depth 16->14 + n_est 350->450 (+0.0019 but 67s over budget)
184689b	0.8106	keep	depth 14, n_est 380 (in budget, +0.0005)
909ec96	0.8118	discard	n_est 380 -> 420 (+0.0012 but 62s over budget)
482591d	0.8111	keep	n_est 380 -> 400 (+0.0005, tight 60s)
e6185bd	0.8094	discard	FE: add CarrierDest (-0.0017 + over budget; redundant w/ CarrierOrigin)
ddf8f1c	0.8040	discard	drop Origin (CarrierOrigin alone insufficient)
903022c	0.8095	discard	colsample 0.6 -> 0.5 (0.6 still right)
a503962	0.8106	discard	subsample 0.95 -> 0.97 (0.95 sweet)
cc2ef24	0.8095	discard	mcw 10 -> 12
4f6c832	0.8111	discard	lr 0.04 -> 0.045 (no change to 4 decimals)
e7bab71	0.7974	discard	FE: add DowHour (-0.0137 big regression)
34315dd	0.8093	discard	lr 0.04 -> 0.035
2da69c8	0.8149	keep	FE: DayofMonth as numeric (NOT categorical) — BIG +0.0038
5bb3e62	0.8180	keep	FE: Month as numeric too — BIG +0.0031, std drops 0.0041->0.0026
21c5dd3	0.8194	keep	FE: DayOfWeek as numeric too (+0.0014, 51s)
48b22fb	0.8216	discard	n_est 400 -> 500 (+0.0022 but 63s over budget)
e3c5888	0.8209	keep	n_est 400 -> 460 (+0.0015, 59s)
7255aff	0.8224	discard	depth 14->16 (+0.0015 but 66s over budget)
d7d945f	0.8211	keep	depth 14->16 + n_est 460->400 (+0.0002, 59s)
de1ebea	0.8213	keep	drop subsample (+0.0002, simpler)
d8f9b15	0.8212	keep	drop gamma (-0.0001 noise, simpler)
2f9a16d	0.8222	discard	n_est 400 -> 440 (+0.0010 but 64s over budget)
000e4c3	0.8218	discard	n_est 400 -> 420 (+0.0006 but 62s over budget)
34dc1e7	0.8206	discard	max_bin 256 -> 128 (no speedup, slight regression)
72258ed	0.8102	discard	drop Dep20Min cat (essential for non-monotonic time signal)
6a8dfdb	0.8206	discard	re-add subsample=0.95 (no longer helping)
164b565	0.8205	discard	drop CarrierOrigin alone (-0.0007 but 18s freed)
6f29723	0.8231	keep	drop CarrierOrigin + n_est 400->600 (+0.0019, 60s)
4cebeda	0.8238	discard	n_est 600 -> 700 (+0.0007 but 67s over)
394da24	0.8222	discard	lr 0.04 -> 0.035 (lr=0.04 still right)
d51184f	0.8225	discard	depth 16->14 + n_est 600->700 (depth=16 still right)
8335713	0.8196	discard	colsample 0.6 -> 0.5
